Description,2014,2015,2016,2017,2018,2019
#students,2540.0,2768.0,2826.0,2799.0,2818.0,3087
%Retained to 2nd Fall,89.0,89.0,90.0,90.0,90.0,88
%Retained to 3rd Fall,84.0,83.0,84.0,85.0,83.0,0
%Retained to 4th Fall,82.0,81.0,82.0,81.0,0.0,0
%Graduated by 4th Summer,53.0,55.0,60.0,0.0,0.0,0
%Graduated by 5th Summer,74.0,74.0,0.0,0.0,0.0,0
%Graduated by 6th Summer,0.8,0.0,0.0,0.0,0.0,0
Avg. terms to degree,12.06394763,11.76190476,11.0486631,9.296442688,6.5,0
