GENDER_CD,Group,Group2,BIPOCFmt,FGFmt,CCHE_FAFSA_CODE,Pell,AGI,FedGrants,FedStudentLoans,FedWorkStudy,InstNeedBasedGrants,InstNonNeedBasedGrants,PrivateSchol,TotalStudentLoans,EFC,FAFSA,GotFedGrants,GotFedStudentLoans,GotFedWorkStudy,FedTotal,GotFedAny,GotPrivateSchol,GotStudentLoans,GotInstNBGrant,GotInstNonNeedGrant,GotAidAny,GotNBAid
F,3. Other,2. Other,Not BIPOC,First gen,1,0,28064,,12500,,2600,,,29766,6321,1,0,1,0,12500,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,1,18449,4095,,,3000,,,27107,2273,1,1,0,0,4095,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,10962,2028.17,1500,1444.31,5075,,,1500,0,1,1,1,1,4972.48,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,1,1,4466,2995,,,2850,,,,3392,1,1,0,0,2995,1,0,0,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,15955,4195.5,12500,,3400,,,12500,1523,1,1,1,0,16695.5,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,1,0,8240,,,,,,,,0,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,3000,,,0,0,0,0,0,,0,0,0,0,1,1,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,9196,,,,,,,,0,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,300,6345,,,8150,3000,,,0,1,1,0,0,6345,1,0,0,1,1,1,1
F,3. Other,2. Other,BIPOC,First gen,1,0,9685,,8000,,6256,2000,,8000,0,1,0,1,0,8000,1,0,1,1,1,1,1
F,3. Other,2. Other,BIPOC,First gen,1,1,30348,6345,,,5150,3000,,,0,1,1,0,0,6345,1,0,0,1,1,1,1
M,2. Small Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,0,45158,,,,,,,,12654,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,0,36647,,,,,,,,9677,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,1,0,78187,,12500,,,,,29902,24383,1,0,1,0,12500,1,0,1,0,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,14509,9345,7500,,4150,,,7500,0,1,1,1,0,16845,1,0,1,1,0,1,1
F,1. Rural,1. Rural/Small Rural,BIPOC,First gen,1,0,110369,,6500,,,,,22500,21812,1,0,1,0,6500,1,0,1,0,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,2,,,,,,,2950.2,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,1. Rural,1. Rural/Small Rural,Not BIPOC,First gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,19229,3295,,,2850,4000,,,3077,1,1,0,0,3295,1,0,0,1,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,0,,,,,,,,0,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,First gen,2,,,,,,,,,9000,0,0,0,0,0,,0,0,1,0,0,1,0
F,3. Other,2. Other,Not BIPOC,First gen,1,1,9490,6345,5500,,,,,5500,0,1,1,1,0,11845,1,0,1,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,0,6345,2750,,,7000,,2750,0,1,1,1,0,9095,1,0,1,0,1,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,1,0,3963.27,12500,,7150,,,12500,0,1,1,1,0,16463.27,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,39603,,,,,2000,,,10810,1,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,First gen,1,1,5110,8345,11407,,9150,,,11407,0,1,1,1,0,19752,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,2,,,,,,,15000,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,35787,,,,,,,,9336,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,32250,,,,1600,,,,7966,1,0,0,0,,0,0,0,1,0,1,1
F,3. Other,2. Other,Not BIPOC,First gen,1,0,11826,,,,1800,1500,,,8159,1,0,0,0,,0,0,0,1,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,0,5552,12500,,6257,,,12500,0,1,1,1,0,18052,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,1,7760,6345,2317,,10150,900,,2317,0,1,1,1,0,8662,1,0,1,1,1,1,1
F,3. Other,2. Other,Not BIPOC,First gen,1,0,34635,,12500,,3600,,,12500,8872,1,0,1,0,12500,1,0,1,1,0,1,1
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,1,2494,6345,11604,,7150,,,11604,0,1,1,1,0,17949,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,1,0,0,,6250,,,,,16182,0,1,0,1,0,6250,1,0,1,0,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,0,4672.5,,,2075,,,,0,1,1,0,0,4672.5,1,0,0,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,16476,3371.5,6228,,2400,,,6228,1885,1,1,1,0,9599.5,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,1,7119,5552,12500,,8881,,,12500,0,1,1,1,0,18052,1,0,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,10500,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,62066,,5500,,3000,,,5500,7055,1,0,1,0,5500,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,29270,,,1479,,,,,7913,1,0,0,1,1479,1,0,0,0,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,0,168304,,7500,,,,,7500,74475,1,0,1,0,7500,1,0,1,0,0,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,First gen,1,1,3968,2379.5,,,3788,1500,,,0,1,1,0,0,2379.5,1,0,0,1,1,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,1,0,6345,10500,,4150,,,10500,0,1,1,1,0,16845,1,0,1,1,0,1,1
F,1. Rural,1. Rural/Small Rural,Not BIPOC,First gen,1,1,20136,3095,3600,,2850,,500,3600,3270,1,1,1,0,6695,1,1,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,52699,,,,,,,,21316,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,1,0,110112,,,,,,,,17046,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,1,5332,6345,,,4400,5000,,,0,1,1,0,0,6345,1,0,0,1,1,1,1
M,3. Other,2. Other,BIPOC,First gen,1,0,82694,,,,4800,,,,10593,1,0,0,0,,0,0,0,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,108732,,4000,,2100,,,4000,10308,1,0,1,0,4000,1,0,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,21240,1095,12500,,2850,,,12500,5236,1,1,1,0,13595,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,First gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,1623,,,,,,,19140,0,1,0,0,0,,0,0,1,0,0,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,16818,4395,9500,,3150,2500,,9500,1952,1,1,1,0,13895,1,0,1,1,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,1,1,16667,3933,12500,,2800,,,12500,1892,1,1,1,0,16433,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,9390,9345,12500,,4150,,,12500,0,1,1,1,0,21845,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,0,9345,5500,,4150,,,5500,0,1,1,1,0,14845,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,1,22303,2695,12500,,2850,,,21356,3616,1,1,1,0,15195,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,1,16282,4595,,,8400,,,,1740,1,1,0,0,4595,1,0,0,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,73343,,,,,,,,17163,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,11731,5552,4500,,7132,,,4500,0,1,1,1,0,10052,1,0,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,1,0,9345,,1283.26,4150,,,,0,1,1,0,1,10628.26,1,0,0,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,683,4672.5,,,1177,,,,0,1,1,0,0,4672.5,1,0,0,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,48100,,12500,,,,,12500,14096,1,0,1,0,12500,1,0,1,0,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,First gen,1,1,0,6345,5191,,4150,,,5191,0,1,1,1,0,11536,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,14860,2597.5,5250,,2300,,,5250,1189,1,1,1,0,7847.5,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,312452,,,,,,,,39106,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,1750,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,BIPOC,First gen,1,0,28153,,10400,,,,,10400,6411,1,0,1,0,10400,1,0,1,0,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,First gen,1,1,14767,5195,12500,,1600,,,12500,1143,1,1,1,0,17695,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,1,39660,3495,817,,8910,2000,,817,2857,1,1,1,0,4312,1,0,1,1,1,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,14166,2697.5,6250,,,,,6250,901,1,1,1,0,8947.5,1,0,1,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,15356,4370.5,12500,,3946,,,12500,1376,1,1,1,0,16870.5,1,0,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,53231,,,,1600,,,,7367,1,0,0,0,,0,0,0,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,First gen,1,1,15448,7009,2500,,3113,,,2500,0,1,1,1,0,9509,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,1,1,10161,6345,2750,,4150,,,2750,0,1,1,1,0,9095,1,0,1,1,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,7882,6345,5500,,10150,,,5500,0,1,1,1,0,11845,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,First gen,1,1,17696,3995,10500,,2925,,,10500,2378,1,1,1,0,14495,1,0,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,0,0,,9375,,2075,100,,9375,0,1,0,1,0,9375,1,0,1,1,1,1,1
M,1. Rural,1. Rural/Small Rural,BIPOC,Not first gen,1,0,5999,,,,,,,,0,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,278334,,,,,3750,,,90991,1,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,20044,3095,,,2850,,,,3234,1,1,0,0,3095,1,0,0,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
