Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
F,0,1,1,1,5870.0,86236.0,0,1,1
F,0,0,0,1,36593.0,78612.0,0,0,1
F,0,0,1,1,1871.0,52529.0,1,1,1
F,0,1,1,1,24.0,52037.0,1,1,1
M,0,0,1,1,40109.0,155660.0,0,0,0
M,0,0,0,1,42636.0,212862.0,0,0,0
F,0,1,0,1,28809.0,137595.0,1,1,1
M,0,0,1,1,8406.0,90648.0,0,1,1
M,0,0,0,1,27310.0,35044.0,0,1,1
M,0,0,0,1,23626.0,209218.0,0,1,1
M,0,0,0,1,177844.0,321215.0,0,0,1
M,0,0,0,1,11808.0,136681.0,0,1,1
F,0,1,1,1,6218.0,67853.0,0,1,1
F,0,0,0,1,33548.0,177302.0,0,0,1
M,0,0,0,1,224556.0,204547.0,0,0,1
M,0,1,0,1,21088.0,116127.0,0,1,1
F,0,0,0,1,19052.0,165292.0,0,1,1
M,0,0,0,1,25120.0,126202.0,0,0,0
F,0,0,1,1,6106.0,66614.0,0,1,1
F,0,0,0,1,55077.0,194132.0,0,0,1
M,0,0,0,1,367.0,32090.0,1,1,1
M,0,0,0,1,19152.0,81256.0,0,1,1
F,0,0,1,1,3504.0,46361.0,1,1,1
F,0,0,0,1,14137.0,110072.0,0,1,1
F,0,0,0,1,82896.0,108960.0,0,0,0
F,0,0,0,1,4384.0,60455.0,1,1,1
M,0,0,0,1,28607.0,135334.0,0,0,1
M,0,0,0,1,18794.0,157691.0,0,1,1
F,0,0,0,1,34231.0,139165.0,0,0,1
F,0,0,0,1,3705.0,50842.0,1,1,1
M,0,0,0,1,104910.0,227772.0,0,0,1
F,0,1,0,1,26903.0,178529.0,0,1,1
F,0,1,0,1,1359.0,34143.0,1,1,1
F,0,0,0,1,8466.0,89901.0,0,1,1
M,0,0,0,1,47755.0,130928.0,0,0,1
M,0,1,1,1,20231.0,84713.0,0,0,0
M,0,1,1,1,8562.0,97579.0,0,0,1
M,0,0,1,1,1434.0,15513.0,1,1,1
F,0,0,0,1,24691.0,160418.0,0,0,1
F,0,0,1,1,3963.0,48305.0,1,1,1
F,0,1,0,1,9216.0,67476.0,0,1,1
M,0,1,1,1,36318.0,161551.0,0,0,1
F,0,1,1,1,6847.0,97133.0,0,1,1
M,0,1,0,1,839.0,33682.0,1,1,1
F,0,0,1,1,109297.0,283052.0,0,0,1
F,0,1,1,1,98.0,34705.0,1,1,1
M,0,1,0,1,16.0,38626.0,1,1,1
M,1,1,0,1,24115.0,201182.0,0,1,1
F,0,1,0,1,29582.0,209665.0,0,0,1
M,0,0,0,1,20207.0,170193.0,0,1,1
F,1,0,1,1,3764.0,62811.0,1,1,1
F,0,0,0,1,10899.0,74147.0,0,1,1
F,0,1,0,1,4516.0,74446.0,1,1,1
F,0,1,1,1,20722.0,102469.0,0,1,1
M,0,1,0,1,27567.0,220709.0,0,0,1
F,1,1,0,1,9041.0,113050.0,0,1,1
F,1,1,1,1,7240.0,55856.0,0,1,1
F,0,0,0,1,42103.0,169656.0,0,0,1
M,0,1,0,1,12615.0,128333.0,0,1,1
F,0,0,0,1,14807.0,84873.0,0,1,1
F,0,0,0,1,1485.0,38199.0,1,1,1
M,0,0,1,1,17636.0,157645.0,0,1,1
F,0,0,0,1,67868.0,214566.0,0,0,1
F,0,0,0,1,81240.0,220252.0,0,0,0
F,0,0,0,1,5738.0,60186.0,0,1,1
F,0,1,0,1,5700.0,58498.0,1,1,1
F,0,0,0,1,45099.0,158420.0,0,0,1
M,0,0,0,1,28088.0,123784.0,0,0,0
F,0,1,0,1,879.0,44434.0,1,1,1
M,0,1,1,1,1086.0,46324.0,1,1,1
M,0,1,1,1,679.0,36458.0,1,1,1
F,0,0,0,1,25286.0,121001.0,0,0,1
M,0,0,0,1,56135.0,318412.0,0,0,1
M,0,0,0,1,49493.0,222148.0,0,0,1
M,0,1,0,1,35901.0,123325.0,0,0,1
F,0,0,1,1,5092.0,66111.0,1,1,1
F,0,1,1,1,10.0,9711.0,1,1,1
F,0,1,0,1,23465.0,139564.0,0,1,1
F,0,0,0,1,14888.0,91540.0,0,0,1
F,0,1,1,1,9375.0,107459.0,0,1,1
M,0,0,0,1,20304.0,167673.0,0,0,1
M,0,1,1,1,5124.0,86789.0,1,1,1
M,0,0,0,1,113884.0,283741.0,0,0,1
F,0,1,1,1,299.0,39732.0,1,1,1
F,0,1,1,1,9497.0,97252.0,0,1,1
M,0,1,0,1,9955.0,109204.0,0,1,1
F,0,0,0,1,50704.0,113069.0,0,0,1
F,0,0,0,1,19900.0,61865.0,0,1,1
F,0,0,0,1,33654.0,171776.0,0,0,1
M,0,1,0,1,82351.0,133913.0,0,0,0
M,0,0,0,1,22752.0,133903.0,0,0,1
M,0,1,0,1,20810.0,98280.0,0,1,1
F,0,0,0,1,33379.0,223202.0,0,0,1
M,0,1,1,1,2394.0,41798.0,1,1,1
F,0,1,1,1,1639.0,32406.0,1,1,1
F,0,1,1,1,582.0,36116.0,1,1,1
F,0,0,0,1,182320.0,349187.0,0,0,1
F,0,0,0,1,18344.0,152143.0,0,1,1
M,0,1,1,1,204.0,27764.0,1,1,1
F,0,0,0,1,18512.0,103706.0,0,1,1
M,0,1,1,1,15244.0,94155.0,0,1,1
M,0,1,1,1,19207.0,102510.0,0,1,1
M,0,1,1,1,14973.0,142124.0,0,0,1
F,0,1,1,1,899.0,39283.0,1,1,1
F,0,1,1,1,12563.0,78603.0,0,0,0
M,0,1,1,1,12466.0,142680.0,0,1,1
F,0,1,0,1,71129.0,196469.0,0,0,1
F,0,0,0,1,76434.0,215691.0,0,0,1
F,0,1,1,1,16649.0,147651.0,0,0,1
M,0,0,0,1,44317.0,189145.0,0,0,0
F,0,1,1,1,1516.0,63006.0,1,1,1
M,0,0,0,1,8045.0,72726.0,0,1,1
F,0,0,0,1,13468.0,105522.0,0,0,0
F,0,0,0,1,21727.0,92955.0,0,0,0
M,0,0,1,1,7455.0,67595.0,0,1,1
M,0,0,0,1,136978.0,321160.0,0,0,1
M,0,0,0,1,19737.0,101132.0,0,0,1
M,0,1,0,1,29837.0,192676.0,0,0,1
M,0,0,0,1,1235.0,15002.0,1,1,1
M,0,0,0,1,12054.0,89495.0,0,1,1
F,0,1,1,1,3585.0,70556.0,1,1,1
M,0,0,0,1,15921.0,135182.0,0,0,0
M,0,0,0,1,94341.0,284909.0,0,0,0
M,0,0,0,1,205636.0,374394.0,0,0,1
F,0,0,0,1,6918.0,70282.0,0,1,1
M,0,0,0,1,77872.0,312603.0,0,0,1
M,0,1,1,1,3589.0,79867.0,1,1,1
F,0,1,1,1,4021.0,49286.0,1,1,1
M,0,0,0,1,45363.0,105831.0,0,0,0
F,0,0,0,1,1079.0,68011.0,1,1,1
M,0,1,0,1,24970.0,131000.0,0,0,1
M,0,1,0,1,26992.0,134197.0,0,0,1
M,0,0,0,1,34544.0,91516.0,0,0,1
M,0,0,0,1,19656.0,109785.0,0,1,1
F,0,0,1,1,50993.0,194297.0,0,0,1
M,0,0,0,1,3620.0,20987.0,1,1,1
M,0,0,1,1,5515.0,24017.0,1,1,1
F,0,0,0,1,20831.0,105280.0,0,0,1
F,0,1,1,1,3118.0,97244.0,1,1,1
F,0,1,1,1,17426.0,87954.0,0,0,0
M,0,1,0,1,15178.0,142748.0,0,1,1
M,0,0,0,1,3689.0,20912.0,1,1,1
F,0,1,1,1,1187.0,45125.0,1,1,1
F,0,0,0,1,26761.0,99436.0,0,0,1
F,0,1,0,1,6519.0,64410.0,0,1,1
F,0,1,0,1,22203.0,101306.0,0,0,0
M,0,0,0,1,11822.0,125289.0,0,1,1
M,0,0,0,1,8742.0,34248.0,0,1,1
M,0,0,0,1,7708.0,91205.0,0,1,1
M,0,0,0,1,185361.0,128297.0,0,0,1
F,0,0,0,1,10617.0,157014.0,0,0,0
M,0,1,0,1,31534.0,227380.0,0,0,1
M,0,1,0,1,11392.0,73778.0,0,1,1
F,0,1,0,1,16765.0,96986.0,0,0,1
M,1,1,1,1,7133.0,28052.0,0,1,1
M,0,1,1,1,2288.0,43952.0,1,1,1
F,0,0,0,1,200.0,19193.0,1,1,1
M,0,1,1,1,1173.0,49794.0,1,1,1
M,0,1,1,1,1222.0,44437.0,1,1,1
F,0,1,1,1,24350.0,114967.0,0,1,1
M,0,0,0,1,55710.0,183043.0,0,0,1
F,0,0,0,1,33778.0,54644.0,0,0,0
F,0,0,0,1,7633.0,90311.0,0,1,1
M,0,0,0,1,24395.0,159342.0,0,0,0
M,0,0,0,1,38356.0,245532.0,0,0,1
