Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
M,0,1,0,1,33659.0,155584.0,0,0,1
F,0,1,0,1,17805.0,115917.0,0,0,1
M,0,1,0,1,23958.0,122153.0,0,1,1
F,0,0,0,1,4152.0,55432.0,1,1,1
F,0,0,0,1,143292.0,307882.0,0,0,1
F,0,1,0,1,34815.0,245000.0,0,0,1
M,0,1,0,1,5746.0,77253.0,0,1,1
M,0,0,0,1,122839.0,155067.0,0,0,1
F,0,1,0,1,77210.0,119920.0,0,0,1
F,0,0,0,1,75126.0,219226.0,0,0,1
M,0,1,0,1,307.0,42468.0,1,1,1
F,0,0,0,1,46678.0,184317.0,0,0,1
M,0,1,0,1,30710.0,215028.0,0,0,1
M,0,1,1,1,11240.0,120758.0,0,1,1
F,0,0,0,1,24701.0,112866.0,0,1,1
M,0,0,0,1,2925.0,65992.0,1,1,1
M,0,0,0,1,41230.0,156679.0,0,0,1
M,0,0,0,1,54945.0,226100.0,0,0,0
M,0,0,0,1,25626.0,113392.0,0,1,1
M,0,0,0,1,30443.0,134267.0,0,0,0
M,0,0,0,1,92084.0,189506.0,0,0,1
M,0,0,0,1,25475.0,128007.0,0,0,0
M,0,1,1,1,1294.0,49808.0,1,1,1
F,1,0,0,1,44931.0,256164.0,0,0,0
F,0,1,1,1,9152.0,70065.0,0,1,1
M,0,1,0,1,42790.0,180545.0,0,0,1
M,0,0,1,1,38919.0,162009.0,0,0,1
F,0,1,1,1,2551.0,33993.0,1,1,1
F,0,1,0,1,86070.0,296575.0,0,0,1
M,0,1,0,1,10210.0,69346.0,0,0,0
F,0,0,0,1,1494.0,44599.0,1,1,1
M,0,1,0,1,4072.0,105132.0,1,1,1
M,0,1,0,1,10732.0,143415.0,0,1,1
M,0,0,1,1,3904.0,49224.0,1,1,1
F,1,0,0,1,65214.0,169342.0,0,0,1
M,0,1,1,1,6171.0,64108.0,0,1,1
F,1,1,1,1,4967.0,48923.0,1,1,1
F,0,1,1,1,3018.0,66621.0,1,1,1
M,0,0,0,1,51680.0,355786.0,0,0,1
F,0,0,0,1,14156.0,121311.0,0,1,1
F,1,0,1,1,29194.0,130077.0,0,0,1
M,0,1,0,1,30138.0,143700.0,0,0,1
F,0,1,1,1,644.0,43633.0,1,1,1
M,0,0,0,1,65215.0,340607.0,0,0,0
F,0,0,0,1,7795.0,57740.0,0,1,1
F,0,0,0,1,36349.0,162376.0,0,0,1
M,0,0,0,1,29367.0,147386.0,0,1,1
F,0,0,0,1,160385.0,506172.0,0,0,1
M,0,0,0,1,36401.0,232153.0,0,0,1
F,0,1,0,1,35441.0,158610.0,0,0,1
F,0,0,0,1,100428.0,237203.0,0,0,1
M,0,0,0,1,46930.0,284981.0,0,0,0
F,0,0,0,1,37465.0,102331.0,0,0,1
F,0,0,0,1,57163.0,68015.0,0,0,0
F,0,1,0,1,15678.0,148558.0,0,1,1
M,0,0,0,1,9580.0,120044.0,0,1,1
F,0,0,0,1,32427.0,141058.0,0,0,1
F,0,1,0,1,116105.0,342936.0,0,0,0
M,0,0,0,1,11800.0,80471.0,0,1,1
F,0,0,0,1,19648.0,129576.0,0,1,1
F,0,0,0,1,14653.0,134500.0,0,0,1
M,0,1,1,1,1902.0,65250.0,1,1,1
M,0,0,0,1,16965.0,70388.0,0,1,1
M,0,1,1,1,11206.0,96976.0,0,0,1
F,0,1,0,1,27413.0,216147.0,0,0,1
M,0,0,0,1,400.0,17025.0,1,1,1
F,0,1,1,1,1563.0,44382.0,1,1,1
M,0,0,0,1,10754.0,105807.0,0,1,1
M,0,0,0,1,5414.0,79200.0,1,1,1
F,0,1,0,1,4612.0,51968.0,1,1,1
M,0,0,0,1,31888.0,199201.0,0,0,1
F,0,0,0,1,87439.0,125710.0,0,0,1
M,1,0,0,1,35530.0,212716.0,0,0,0
M,0,0,0,1,193036.0,217266.0,0,0,0
F,1,1,1,1,12368.0,69779.0,0,1,1
F,0,0,0,1,32876.0,146751.0,0,0,1
F,0,1,0,1,29784.0,119004.0,0,0,1
F,0,0,0,1,170903.0,516291.0,0,0,0
M,0,0,0,1,168999.0,170092.0,0,0,0
M,0,0,0,1,36816.0,135092.0,0,0,1
F,0,0,0,1,61524.0,199048.0,0,0,1
M,0,1,0,1,31963.0,100000.0,0,0,1
F,0,0,0,1,40412.0,112856.0,0,0,1
M,1,1,0,1,29225.0,147941.0,0,0,1
F,0,1,0,1,62342.0,219409.0,0,0,1
M,0,0,1,1,29417.0,141140.0,0,0,1
F,0,1,0,1,62420.0,180938.0,0,0,1
M,0,1,0,1,45522.0,149449.0,0,0,1
M,0,0,0,1,20670.0,153589.0,0,0,1
M,0,0,0,1,66759.0,165327.0,0,0,1
F,0,0,0,1,134.0,29524.0,1,1,1
F,0,0,0,1,61547.0,90997.0,0,0,1
M,0,0,0,1,67183.0,365615.0,1,1,1
F,0,0,1,1,12353.0,79775.0,0,1,1
F,0,0,0,1,76794.0,175221.0,0,0,1
F,0,0,0,1,1829.0,33862.0,1,1,1
M,0,0,1,1,2798.0,48664.0,1,1,1
M,0,1,0,1,11567.0,111931.0,0,1,1
M,0,0,0,1,25030.0,98172.0,0,0,1
F,0,1,0,1,59279.0,219885.0,1,1,1
F,0,1,1,1,24909.0,135701.0,1,1,1
F,0,1,1,1,8310.0,65567.0,0,1,1
M,0,0,0,1,26717.0,104005.0,0,0,1
M,0,0,0,1,15045.0,145158.0,0,1,1
F,1,1,0,1,31185.0,138834.0,0,0,0
M,0,1,0,1,5091.0,55434.0,1,1,1
F,0,1,0,1,4013.0,50386.0,1,1,1
F,0,0,0,1,11421.0,40211.0,0,1,1
M,0,0,0,1,18785.0,152880.0,0,1,1
F,0,0,0,1,5814.0,50491.0,0,1,1
F,0,0,0,1,1826.0,48521.0,1,1,1
F,0,0,0,1,22422.0,132049.0,0,0,0
M,0,0,0,1,6637.0,120506.0,0,1,1
M,0,0,0,1,25503.0,205083.0,0,0,1
F,0,0,0,1,33298.0,222122.0,0,0,1
F,0,1,0,1,40785.0,143743.0,0,0,1
F,0,0,1,1,51.0,66301.0,1,1,1
F,0,1,1,1,19783.0,103118.0,0,1,1
F,0,0,0,1,69668.0,320382.0,0,0,1
F,0,0,0,1,25311.0,174562.0,0,0,0
F,0,0,0,1,64188.0,235250.0,0,0,1
F,0,1,1,1,691.0,51433.0,1,1,1
M,0,0,0,1,65614.0,159287.0,0,0,1
M,0,0,0,1,90058.0,231707.0,0,0,0
M,0,1,0,1,27580.0,182966.0,0,0,0
F,0,1,1,1,2006.0,59034.0,1,1,1
M,0,0,0,1,20927.0,230788.0,0,1,1
M,0,1,0,1,25979.0,102950.0,0,0,1
F,0,0,0,1,3122.0,47271.0,1,1,1
M,0,0,0,1,19704.0,102699.0,0,0,1
F,1,0,0,1,66702.0,387439.0,0,0,1
M,0,1,0,1,52018.0,179506.0,0,0,0
F,0,0,0,1,82032.0,241515.0,0,0,1
F,0,0,1,1,32947.0,42522.0,0,0,1
M,0,0,0,1,51696.0,184211.0,0,0,1
F,0,1,0,1,17264.0,77852.0,0,1,1
M,0,0,0,1,108832.0,271787.0,0,0,1
F,0,0,0,1,15770.0,85472.0,0,0,0
F,0,0,0,1,121525.0,652348.0,0,0,1
F,0,1,0,1,3126.0,53633.0,1,1,1
M,0,1,0,1,13780.0,120445.0,0,1,1
M,0,1,1,1,2389.0,59576.0,0,0,0
F,0,1,1,1,9693.0,132413.0,0,1,1
F,0,1,0,1,17558.0,172381.0,0,0,1
F,0,0,0,1,46079.0,324710.0,0,0,1
M,0,0,0,1,999999.0,140279.0,0,0,0
M,0,0,0,1,30556.0,188555.0,0,0,1
M,0,1,1,1,4263.0,59334.0,0,0,1
F,0,1,0,1,71884.0,182296.0,0,0,1
F,0,1,0,1,6710.0,67177.0,0,1,1
M,0,0,0,1,117511.0,345751.0,0,0,1
F,0,1,0,1,7103.0,118669.0,0,1,1
F,0,1,0,1,2159.0,41741.0,1,1,1
F,0,0,0,1,11375.0,76412.0,0,1,1
M,0,0,0,1,54264.0,143795.0,0,0,1
F,0,0,1,1,601.0,13411.0,1,1,1
F,0,1,1,1,1459.0,54118.0,1,1,1
F,0,1,0,1,7989.0,69255.0,0,0,1
M,0,0,0,1,25973.0,59443.0,0,0,0
M,0,1,0,1,46044.0,132770.0,0,0,0
F,0,0,0,1,6351.0,60379.0,0,1,1
M,0,0,0,1,33252.0,134828.0,0,0,0
M,0,1,1,1,795.0,35906.0,1,1,1
F,0,1,0,1,24495.0,197171.0,0,0,0
F,0,0,0,1,83921.0,121930.0,0,0,1
M,0,1,1,1,28523.0,156773.0,0,0,1
F,0,0,0,1,74599.0,239654.0,0,0,1
F,0,1,0,1,42594.0,150041.0,0,0,0
M,0,1,0,1,44865.0,70735.0,0,0,1
M,0,1,1,1,849.0,31155.0,1,1,1
M,0,1,0,1,10857.0,75363.0,0,0,0
M,0,0,0,1,51147.0,175229.0,0,0,1
M,0,1,0,1,60467.0,244676.0,0,0,0
F,0,0,0,1,18390.0,112741.0,0,1,1
M,0,0,0,1,91417.0,247742.0,0,0,1
M,0,0,0,1,20788.0,43597.0,0,0,1
M,0,0,0,1,80799.0,196966.0,0,0,1
M,0,0,1,1,25729.0,83848.0,0,1,1
M,0,1,0,1,194403.0,202456.0,0,0,1
M,0,1,1,1,2726.0,56778.0,1,1,1
F,0,0,0,1,53627.0,297131.0,0,0,1
F,0,0,0,1,11878.0,83229.0,0,1,1
F,0,1,0,1,54068.0,205875.0,0,0,1
M,0,1,0,1,20355.0,69431.0,0,1,1
M,0,0,0,1,1589.0,93198.0,1,1,1
M,0,0,0,1,41465.0,124714.0,0,0,1
M,0,1,0,1,3221.0,42182.0,1,1,1
F,0,1,1,1,19086.0,121993.0,0,1,1
M,0,0,0,1,13484.0,97203.0,0,0,0
F,0,1,0,1,4305.0,67704.0,1,1,1
M,0,1,0,1,194.0,25368.0,1,1,1
M,0,0,0,1,9739.0,83590.0,0,1,1
F,0,1,0,1,37062.0,149673.0,0,0,1
M,0,0,0,1,35301.0,136492.0,0,0,0
M,1,0,1,1,10161.0,118271.0,0,1,1
M,0,1,0,1,23281.0,116872.0,0,0,1
M,0,1,1,1,1581.0,15552.0,1,1,1
F,0,0,0,1,20.0,27040.0,1,1,1
M,0,1,0,1,8510.0,90330.0,0,1,1
M,0,1,0,1,149691.0,265290.0,0,0,1
F,0,0,0,1,196301.0,362826.0,0,0,1
M,0,1,1,1,3487.0,69553.0,1,1,1
F,0,0,0,1,4030.0,38653.0,1,1,1
M,0,1,0,1,40707.0,172532.0,0,0,1
F,0,1,0,1,49956.0,203558.0,0,0,1
F,0,1,0,1,2209.0,45077.0,1,1,1
F,0,1,0,1,16275.0,120075.0,0,1,1
F,1,0,1,1,11119.0,79044.0,0,1,1
F,0,0,0,1,18095.0,88273.0,0,0,1
F,0,0,0,1,13040.0,123358.0,0,1,1
F,0,0,0,1,39609.0,166608.0,0,0,1
M,0,0,0,1,21995.0,181167.0,0,0,1
F,0,0,0,1,20324.0,203919.0,0,1,1
F,0,0,0,1,11095.0,76670.0,0,1,1
F,0,0,0,1,44167.0,235216.0,0,0,1
F,0,0,1,1,1066.0,38107.0,1,1,1
M,0,1,0,1,61300.0,200165.0,0,0,1
M,0,1,0,1,4480.0,66666.0,1,1,1
M,0,1,1,1,31008.0,133150.0,0,0,1
M,0,0,0,1,168751.0,277835.0,0,0,0
F,0,1,0,1,12577.0,149711.0,0,1,1
M,0,0,0,1,12853.0,100952.0,0,0,0
F,0,0,1,1,8455.0,76693.0,0,1,1
M,0,0,0,1,130771.0,195847.0,0,0,1
M,0,0,0,1,3478.0,50668.0,1,1,1
F,0,1,1,1,14916.0,104409.0,0,0,0
F,0,0,0,1,6663.0,69100.0,0,1,1
M,0,0,0,1,75957.0,263599.0,0,0,1
F,0,0,0,1,39297.0,176198.0,0,0,1
F,0,0,1,1,10526.0,86944.0,0,1,1
F,0,0,0,1,23390.0,180000.0,0,1,1
M,0,0,0,1,20562.0,120052.0,0,1,1
M,0,1,1,1,16601.0,117662.0,0,1,1
F,0,0,0,1,4.0,-143001.0,1,1,1
M,0,0,0,1,34136.0,212728.0,0,0,1
M,0,0,1,1,33414.0,143412.0,0,0,1
M,0,1,1,1,10063.0,90674.0,0,1,1
M,0,1,0,1,656.0,29787.0,1,1,1
F,0,0,0,1,37598.0,117329.0,0,0,1
M,0,1,0,1,5083.0,60281.0,1,1,1
F,0,0,0,1,13575.0,76092.0,0,1,1
M,0,1,1,1,62.0,42782.0,1,1,1
F,0,0,0,1,6.0,-212076.0,1,1,1
F,0,0,0,1,5509.0,86424.0,1,1,1
F,0,0,0,1,6997.0,62187.0,0,1,1
M,0,1,0,1,34180.0,142810.0,0,0,1
F,0,0,0,1,26025.0,129328.0,0,1,1
F,0,0,0,1,5225.0,59652.0,1,1,1
M,0,0,0,1,60180.0,210186.0,0,0,1
M,0,0,0,1,22860.0,167577.0,0,1,1
M,0,1,0,1,43655.0,218380.0,0,0,1
M,0,0,0,1,45876.0,188095.0,0,0,1
M,0,0,0,1,106014.0,-158629.0,0,0,1
M,0,1,0,1,43698.0,155641.0,0,0,0
M,0,0,0,1,11267.0,105746.0,0,1,1
M,0,0,0,1,21333.0,136289.0,0,0,1
F,0,1,0,1,37889.0,145579.0,0,0,1
F,0,0,1,1,6778.0,77777.0,0,1,1
F,0,1,0,1,4813.0,54456.0,1,1,1
F,0,0,0,1,21550.0,71542.0,0,1,1
M,0,0,0,1,10.0,-6875.0,1,1,1
M,0,0,0,1,36696.0,88312.0,0,0,1
M,0,0,1,1,52903.0,168179.0,0,0,1
F,0,0,0,1,30724.0,157904.0,0,0,0
M,0,1,1,1,30.0,28283.0,1,1,1
F,0,1,0,1,58358.0,218178.0,0,0,1
M,0,0,0,1,299851.0,628501.0,0,0,1
F,0,1,1,1,7517.0,99409.0,0,1,1
M,0,0,0,1,149498.0,346029.0,0,0,1
M,0,1,0,1,29217.0,185565.0,0,1,1
M,0,1,0,1,18439.0,156320.0,0,1,1
F,0,1,0,1,21838.0,117070.0,0,1,1
F,0,1,1,1,3156.0,49752.0,1,1,1
F,0,0,0,1,68993.0,105985.0,0,0,1
M,0,1,1,1,9006.0,92065.0,0,1,1
M,0,1,0,1,29167.0,109260.0,0,0,1
F,0,1,0,1,10178.0,84543.0,0,1,1
F,0,0,1,1,4420.0,44652.0,1,1,1
F,0,1,1,1,5959.0,73096.0,0,1,1
F,0,0,0,1,15810.0,107657.0,0,1,1
M,0,1,0,1,91.0,32357.0,1,1,1
F,0,1,1,1,31838.0,108798.0,0,0,1
F,0,1,1,1,8110.0,70998.0,0,1,1
F,0,1,1,1,510.0,46504.0,1,1,1
M,0,0,0,1,6430.0,66722.0,0,1,1
F,0,0,0,1,79820.0,182977.0,0,0,1
M,0,0,0,1,2230.0,45701.0,1,1,1
M,0,1,1,1,10321.0,77986.0,0,1,1
F,0,1,1,1,24476.0,108355.0,0,1,1
M,0,0,0,1,1034.0,32690.0,1,1,1
F,0,0,1,1,10312.0,110595.0,0,0,1
M,0,0,1,1,1981.0,41525.0,1,1,1
M,0,0,0,1,43012.0,161970.0,0,0,1
M,0,1,1,1,3261.0,45080.0,1,1,1
F,0,0,1,1,8251.0,80924.0,0,1,1
F,0,0,0,1,118260.0,377157.0,0,0,1
F,0,0,1,1,5880.0,68754.0,0,1,1
F,0,1,1,1,5044.0,53922.0,1,1,1
M,0,0,0,1,74997.0,256389.0,0,0,0
M,0,0,1,1,86893.0,118635.0,0,0,1
F,0,0,1,1,78544.0,230867.0,0,0,1
M,0,0,1,1,7033.0,75639.0,0,1,1
M,0,0,0,1,14548.0,143306.0,0,1,1
M,0,0,0,1,81681.0,164579.0,0,0,0
M,0,0,0,1,20419.0,147892.0,0,0,1
F,0,1,0,1,77721.0,525913.0,0,0,0
F,0,0,0,1,90359.0,318655.0,0,0,1
M,0,0,0,1,33650.0,151757.0,0,1,1
F,1,1,0,1,5388.0,60905.0,1,1,1
M,0,1,1,1,10953.0,96538.0,0,1,1
M,0,0,0,1,46221.0,213943.0,0,0,1
M,0,0,0,1,48189.0,172740.0,0,0,1
M,0,1,0,1,54396.0,191321.0,0,0,1
F,0,0,0,1,81995.0,279687.0,0,0,1
M,0,0,0,1,62518.0,175978.0,0,0,1
F,0,1,1,1,8003.0,73297.0,0,1,1
M,0,0,0,1,27411.0,204693.0,0,1,1
M,0,1,0,1,87006.0,483030.0,0,0,1
M,0,1,1,1,578.0,46162.0,1,1,1
F,0,1,1,1,46762.0,151275.0,0,0,1
M,0,0,0,1,42990.0,180285.0,0,0,1
F,0,1,0,1,1925.0,52035.0,1,1,1
M,0,0,1,1,54402.0,226432.0,0,0,1
F,0,0,0,1,214189.0,534159.0,0,0,1
F,0,0,0,1,65532.0,148288.0,0,0,1
M,0,0,0,1,123264.0,631258.0,0,0,1
M,0,0,0,1,43543.0,200705.0,0,0,1
M,0,0,0,1,30940.0,205130.0,0,0,1
F,0,0,0,1,45339.0,291710.0,0,0,1
M,0,1,0,1,21783.0,114176.0,0,0,1
M,0,1,0,1,1900.0,-2837.0,1,1,1
F,0,0,1,1,619.0,41100.0,1,1,1
M,0,1,1,1,2205.0,46283.0,1,1,1
M,0,1,0,1,10448.0,121518.0,0,1,1
F,0,0,1,1,2835.0,66611.0,1,1,1
F,0,0,0,1,13228.0,80288.0,0,0,1
F,0,1,0,1,268313.0,1395897.0,0,0,1
F,0,0,0,1,5988.0,28347.0,0,1,1
M,0,1,0,1,5945.0,65687.0,0,1,1
F,0,0,1,1,1358.0,14144.0,1,1,1
F,0,0,0,1,190046.0,467599.0,0,0,1
F,0,0,0,1,27743.0,137216.0,0,0,0
F,1,1,0,1,4412.0,86599.0,1,1,1
F,0,1,1,1,10080.0,51839.0,0,1,1
F,0,0,0,1,48578.0,143129.0,0,0,1
F,0,1,0,1,16009.0,90680.0,0,1,1
F,0,1,1,1,4765.0,53327.0,1,1,1
F,0,1,1,1,2521.0,51612.0,1,1,1
M,0,0,0,1,82238.0,214091.0,0,0,1
F,1,1,0,1,32338.0,155930.0,0,0,1
M,0,0,0,1,6907.0,95658.0,0,1,1
M,0,0,1,1,22886.0,191968.0,0,1,1
M,0,0,0,1,57233.0,320372.0,0,0,0
F,0,0,0,1,26024.0,153611.0,0,1,1
F,0,0,0,1,23191.0,97939.0,0,0,0
M,0,0,0,1,19320.0,90732.0,0,0,1
F,0,0,0,1,44313.0,171531.0,0,0,1
F,0,0,0,1,37408.0,172520.0,0,0,1
F,0,1,0,1,9732.0,102853.0,0,1,1
M,0,0,0,1,13690.0,131182.0,0,0,0
F,0,0,0,1,30303.0,219771.0,0,0,0
F,0,0,0,1,3903.0,57519.0,1,1,1
F,0,0,0,1,17060.0,83574.0,0,0,0
F,0,0,0,1,7140.0,66471.0,0,1,1
M,0,0,0,1,32464.0,224380.0,0,0,0
M,0,1,1,1,15850.0,103088.0,0,0,0
M,0,1,0,1,6440.0,91321.0,0,1,1
M,0,0,0,1,25141.0,189650.0,0,0,1
M,0,0,0,1,48288.0,170123.0,0,0,1
M,0,1,1,1,2758.0,68298.0,1,1,1
M,0,1,1,1,8594.0,84884.0,0,1,1
M,0,1,0,1,2854.0,69545.0,1,1,1
F,0,1,0,1,2784.0,55102.0,1,1,1
M,0,0,0,1,4731.0,64067.0,1,1,1
M,0,0,0,1,21294.0,166825.0,0,1,1
F,0,1,0,1,35785.0,160310.0,0,0,1
M,0,0,0,1,2.0,-1396.0,1,1,1
F,0,0,0,1,24731.0,177834.0,0,1,1
M,0,0,0,1,16654.0,115604.0,0,0,1
M,1,1,0,1,1981.0,52106.0,1,1,1
M,1,1,0,1,9334.0,103018.0,0,1,1
F,0,0,0,1,47999.0,167124.0,0,0,1
M,0,1,0,1,35341.0,160810.0,0,0,1
F,0,1,0,1,11171.0,192332.0,0,1,1
M,0,1,1,1,7533.0,69650.0,0,1,1
M,0,1,1,1,42221.0,172952.0,0,0,1
M,0,0,0,1,25260.0,132138.0,0,1,1
M,0,1,1,1,15723.0,144157.0,0,1,1
M,0,1,0,1,37152.0,218314.0,0,0,1
M,0,0,0,1,45620.0,192566.0,0,0,1
M,0,1,0,1,60635.0,231039.0,0,0,1
F,0,1,0,1,25101.0,210992.0,0,0,1
M,0,0,0,1,69123.0,227798.0,1,1,1
M,0,1,0,1,66275.0,225000.0,0,0,0
M,0,1,1,1,8964.0,66427.0,0,1,1
F,0,0,0,1,14216.0,78354.0,0,0,0
F,0,1,0,1,30945.0,137894.0,0,0,1
F,0,0,0,1,8652.0,78718.0,0,1,1
M,0,1,0,1,34099.0,130410.0,0,0,0
M,0,0,0,1,67101.0,222996.0,0,0,1
M,1,1,1,1,1966.0,40760.0,1,1,1
F,0,1,0,1,219986.0,532490.0,0,0,1
M,0,1,0,1,53490.0,105703.0,0,0,1
F,0,0,1,1,20357.0,98548.0,0,0,1
F,1,0,0,1,93344.0,188557.0,0,0,1
F,1,1,0,1,398.0,50736.0,1,1,1
F,0,0,0,1,103826.0,306037.0,0,0,1
M,1,1,1,1,6484.0,83901.0,0,1,1
F,0,0,0,1,56410.0,387120.0,0,0,1
F,0,1,0,1,37165.0,103103.0,0,0,1
F,0,1,0,1,33567.0,171715.0,0,0,1
M,1,1,1,1,15850.0,86844.0,0,1,1
M,0,0,0,1,26699.0,194570.0,0,0,0
F,1,0,0,1,1632.0,37284.0,1,1,1
F,1,0,0,1,8538.0,79375.0,0,1,1
F,0,0,0,1,184461.0,171449.0,0,0,0
M,0,1,0,1,36161.0,166396.0,0,0,1
M,0,0,0,1,54598.0,154451.0,0,0,1
F,0,0,0,1,81261.0,275409.0,0,0,1
F,0,1,0,1,25937.0,134268.0,0,0,1
M,0,0,0,1,54073.0,175650.0,0,0,1
F,0,0,0,1,26487.0,114567.0,0,0,1
M,0,0,0,1,36736.0,156625.0,0,0,1
F,0,0,0,1,25748.0,125349.0,0,1,1
M,0,1,0,1,21718.0,179502.0,0,1,1
M,0,0,0,1,37796.0,191664.0,0,0,1
F,0,0,0,1,7478.0,105325.0,0,1,1
F,0,0,0,1,45129.0,123287.0,0,0,1
F,0,1,1,1,15239.0,102093.0,0,1,1
F,0,0,0,1,74122.0,139071.0,0,0,1
F,0,1,0,1,2771.0,58997.0,1,1,1
F,0,0,0,1,66306.0,316425.0,0,0,1
F,0,0,0,1,71334.0,92527.0,0,0,1
F,0,0,0,1,51030.0,137557.0,0,0,1
F,1,0,0,1,2020.0,12850.0,1,1,1
M,0,1,0,1,58806.0,216027.0,0,0,1
M,0,1,0,1,43847.0,194785.0,0,0,1
F,0,0,0,1,18476.0,156743.0,0,1,1
F,0,1,0,1,15137.0,138774.0,0,1,1
F,0,0,0,1,12552.0,123161.0,0,1,1
F,0,0,0,1,27572.0,139412.0,0,0,1
M,0,0,0,1,46375.0,322682.0,0,0,1
F,0,1,0,1,265805.0,276669.0,0,0,1
F,0,0,0,1,2149.0,55178.0,1,1,1
M,0,0,0,1,78718.0,244902.0,0,0,1
F,0,1,1,1,9705.0,71053.0,0,0,0
M,0,1,0,1,14513.0,128345.0,0,1,1
F,0,1,1,1,1102.0,43041.0,1,1,1
M,1,0,0,1,7044.0,88318.0,0,1,1
F,0,0,0,1,20475.0,167854.0,0,0,1
M,0,0,0,1,20563.0,141036.0,0,1,1
F,0,1,1,1,11672.0,140958.0,0,0,0
F,0,1,1,1,69914.0,213421.0,0,1,1
M,0,0,0,1,32657.0,177846.0,0,0,0
M,0,0,0,1,12726.0,84410.0,0,1,1
M,0,0,1,1,10471.0,140256.0,0,1,1
M,0,0,0,1,83571.0,337569.0,0,0,1
F,0,0,0,1,41717.0,344733.0,0,0,1
F,0,0,0,1,23708.0,184393.0,0,1,1
M,0,0,0,1,19480.0,114957.0,0,0,0
M,0,1,1,1,52770.0,162887.0,0,0,1
F,1,0,0,1,1927.0,45715.0,1,1,1
M,0,0,0,1,13315.0,109807.0,0,0,1
F,0,0,0,1,2394.0,52451.0,0,0,1
F,0,0,0,1,15356.0,102084.0,0,0,0
M,0,0,0,1,22373.0,160269.0,0,0,1
F,0,0,0,1,68653.0,173098.0,0,0,1
F,0,0,0,1,38823.0,191822.0,0,1,1
M,0,0,0,1,650.0,11788.0,1,1,1
F,0,0,0,1,7677.0,66689.0,0,1,1
F,0,0,0,1,7553.0,66689.0,0,1,1
F,0,0,0,1,41357.0,152517.0,0,0,1
M,0,0,0,1,31580.0,203942.0,0,1,1
F,0,0,0,1,28340.0,136477.0,0,1,1
M,0,0,0,1,45715.0,274784.0,0,0,1
M,0,0,0,1,14304.0,125565.0,0,0,1
M,0,0,0,1,9814.0,23249.0,0,1,1
M,0,0,0,1,53791.0,267829.0,0,0,1
F,0,0,0,1,72535.0,212735.0,0,0,1
M,0,1,1,1,673.0,36058.0,1,1,1
M,0,0,1,1,39739.0,132570.0,1,1,1
F,1,0,0,1,21767.0,164239.0,0,1,1
M,0,0,0,1,39754.0,160449.0,0,0,1
M,0,0,0,1,14528.0,86431.0,0,1,1
M,1,0,1,1,6323.0,63737.0,0,1,1
M,0,0,0,1,94618.0,177515.0,0,0,1
M,0,1,1,1,4688.0,62080.0,1,1,1
F,0,0,0,1,21597.0,170471.0,0,1,1
M,0,0,0,1,26717.0,135011.0,0,1,1
F,0,1,0,1,12672.0,70299.0,0,1,1
M,0,1,0,1,224101.0,185546.0,0,0,1
M,0,1,0,1,100668.0,389733.0,0,0,1
M,0,0,0,1,76516.0,346212.0,0,0,1
F,1,1,0,1,13808.0,67389.0,0,1,1
F,0,0,0,1,19899.0,102891.0,0,1,1
F,0,0,0,1,3549.0,49267.0,1,1,1
F,0,1,0,1,1183.0,31016.0,1,1,1
M,0,0,0,1,5789.0,84513.0,0,1,1
M,0,0,0,1,5188.0,80879.0,0,0,1
F,0,0,0,1,19795.0,83631.0,0,1,1
F,0,1,0,1,10472.0,77482.0,0,1,1
M,0,1,0,1,44488.0,79255.0,0,0,1
M,0,0,0,1,426975.0,234271.0,0,0,0
M,0,0,0,1,29525.0,192833.0,0,0,1
M,0,0,0,1,19913.0,143292.0,0,0,1
F,0,0,0,1,467.0,-10083.0,1,1,1
M,0,0,0,1,176676.0,349909.0,0,0,0
F,0,1,1,1,30286.0,129402.0,0,1,1
M,0,0,0,1,16677.0,149100.0,0,1,1
M,0,1,1,1,31039.0,121041.0,0,0,1
M,0,1,1,1,1719.0,-15571.0,1,1,1
M,0,0,0,1,16507.0,118196.0,0,1,1
M,0,0,0,1,11610.0,118728.0,0,1,1
F,0,0,0,1,44993.0,146692.0,0,0,1
M,0,1,0,1,18746.0,101399.0,0,0,1
F,0,1,0,1,62256.0,206816.0,0,1,1
M,0,1,0,1,36919.0,160053.0,0,0,1
F,0,0,1,1,1995.0,41623.0,1,1,1
M,0,0,0,1,20502.0,103565.0,0,1,1
M,0,0,0,1,2132.0,39633.0,1,1,1
M,0,0,0,1,108518.0,278031.0,0,0,1
M,0,1,0,1,5774.0,89103.0,0,1,1
F,0,0,0,1,7107.0,89654.0,0,1,1
F,0,1,1,1,4104.0,65265.0,1,1,1
M,0,1,1,1,6021.0,59834.0,0,1,1
M,0,0,0,1,15373.0,91770.0,0,0,0
F,0,0,0,1,147950.0,388692.0,0,0,1
M,0,0,0,1,24530.0,37726.0,0,1,1
M,0,1,0,1,19637.0,108607.0,0,1,1
F,0,0,0,1,45770.0,177188.0,0,0,1
M,0,0,0,1,84985.0,267889.0,0,0,0
M,0,0,0,1,5667.0,76002.0,1,1,1
F,1,0,0,1,26219.0,120995.0,0,0,1
F,1,0,0,1,59694.0,194703.0,0,0,1
M,0,0,1,1,22135.0,88386.0,0,1,1
